year,party,intervention,type,count
1918,Liberal,204,solar power,0
1923,Liberal,15683,solar power,0
1909,Liberal,16237,solar power,0
1942,Independent,307,solar power,0
1902,Independent,79,solar power,0
1942,Liberal Progressive,31,solar power,0
1971,New Democratic Party,8053,solar power,0
1980,Liberal,15687,solar power,0
1934,Liberal,12712,solar power,0
1974,Independent,29,solar power,0
1948,Social Credit,1300,solar power,0
1930,Liberal,9108,solar power,0
1938,Independent Liberal,1,solar power,0
1903,Liberal-Conservative,2705,solar power,0
1939,Social Credit,2744,solar power,0
2003,Canadian Alliance,5609,solar power,0
1967,Liberal,21772,solar power,0
1922,United Farmers of Ontario,35,solar power,0
1972,Independent,3230,solar power,0
1995,New Democratic Party,718,solar power,0
1976,Independent,66,solar power,0
1927,United Farmers of Ontario,7,solar power,0
1927,Conservative (1867-1942),6117,solar power,0
1918,Unionist (Liberal),796,solar power,0
1964,Ralliement Créditiste,3895,solar power,0
1949,Progressive Conservative,10122,solar power,0
1926,United Farmers of Alberta,48,solar power,0
1922,Conservative (1867-1942),5507,solar power,0
1940,Independent Conservative,69,solar power,0
1941,New Democracy,12,solar power,0
2012,Conservative,18796,solar power,0
1949,Liberal,14968,solar power,0
1939,United Farmers of Ontario-Labour,83,solar power,0
1924,Progressive,6267,solar power,0
1920,Unionist,11024,solar power,0
1914,Independent Conservative,164,solar power,0
1941,Independent Liberal,17,solar power,0
1967,Progressive Conservative,12767,solar power,0
1917,Conservative (1867-1942),17658,solar power,0
1993,Bloc Québécois,191,solar power,0
1913,Liberal,6571,solar power,0
1948,Independent Liberal,860,solar power,0
1972,New Democratic Party,3730,solar power,0
1995,Independent,26,solar power,0
1943,National Government,7935,solar power,0
1962,Liberal Labour,466,solar power,0
1902,Liberal-Conservative,854,solar power,0
1992,Bloc Québécois,594,solar power,0
1944,Social Credit,1887,solar power,0
1919,Laurier Liberal,12775,solar power,0
1940,Independent Liberal,17,solar power,0
1991,Bloc Québécois,437,solar power,0
1982,New Democratic Party,6076,solar power,0
1938,Independent Conservative,17,solar power,0
1917,Labour,90,solar power,0
1951,Liberal,19636,solar power,0
1957,Liberal,12217,solar power,0
1935,United Farmers of Alberta,1078,solar power,3
1982,Independent,86,solar power,0
1948,Independent Progressive Conservative,11,solar power,0
1904,Liberal,16664,solar power,0
1951,Progressive Conservative,12737,solar power,0
1957,Progressive Conservative,11605,solar power,0
1927,Labour,639,solar power,0
1921,United Farmers of Ontario-Labour,18,solar power,0
1927,Liberal Progressive,600,solar power,0
1927,Independent,292,solar power,0
1921,Progressive,568,solar power,0
1964,Social Credit,1486,solar power,0
1935,Independent Labour,166,solar power,0
1941,Independent Conservative,73,solar power,0
1919,Liberal,625,solar power,0
1922,Labour,285,solar power,0
1945,National Government,1072,solar power,0
1940,New Democracy,22,solar power,0
1922,Independent,25,solar power,0
1981,Liberal,20208,solar power,1
1970,Liberal Labour,27,solar power,0
1972,Liberal Labour,12,solar power,0
1951,Independent Liberal,18,solar power,0
1957,Independent Liberal,29,solar power,0
1910,Conservative (1867-1942),12136,solar power,0
1952,Social Credit,1318,solar power,2
1947,Bloc populaire canadien,117,solar power,0
1946,Independent,116,solar power,0
1946,Liberal Progressive,6,solar power,0
1967,Independent Progressive Conservative,194,solar power,0
1932,Progressive,166,solar power,0
1911,Nationalist,3,solar power,0
1966,New Democratic Party,6768,solar power,0
1945,Independent,96,solar power,0
1945,Liberal Progressive,3,solar power,0
1983,Progressive Conservative,15306,solar power,0
1956,Social Credit,2241,solar power,0
1940,Liberal,8948,solar power,0
1945,Unity,9,solar power,0
1998,Reform,6077,solar power,0
1994,Liberal,12627,solar power,0
1935,Conservative (1867-1942),12317,solar power,0
1987,New Democratic Party,10934,solar power,0
1940,Progressive Conservative,15,solar power,0
1983,Liberal,21690,solar power,0
1943,Unity,44,solar power,0
1914,Liberal,15471,solar power,0
1987,Independent,5,solar power,0
1955,Social Credit,1943,solar power,0
1994,Progressive Conservative,104,solar power,0
1949,Independent Progressive Conservative,5,solar power,0
2013,Liberal,4088,solar power,0
1943,Liberal Progressive,55,solar power,0
1979,Social Credit,494,solar power,0
1943,Independent,282,solar power,0
1950,Social Credit,1016,solar power,2
1931,Progressive,164,solar power,0
1962,Co-operative Commonwealth Federation (C.C.F.),67,solar power,0
1926,Labour,824,solar power,0
1921,Unionist (Liberal),1621,solar power,0
1916,Conservative (1867-1942),9710,solar power,0
1966,Independent,473,solar power,0
1913,Independent Conservative,111,solar power,0
1904,Independent Liberal,1,solar power,0
1926,Liberal Progressive,2,solar power,0
1926,Independent,344,solar power,0
1923,Progressive,4510,solar power,0
1966,Co-operative Commonwealth Federation (C.C.F.),435,solar power,0
1941,Progressive Conservative,100,solar power,0
1970,New Democratic Party,7170,solar power,0
1973,Social Credit,2516,solar power,0
1999,Liberal,10520,solar power,0
1996,Reform,5046,solar power,0
1943,Co-operative Commonwealth Federation (C.C.F.),3416,solar power,0
1930,Progressive,416,solar power,0
1934,Progressive,101,solar power,0
1927,United Farmers of Alberta,1562,solar power,0
1986,New Democratic Party,9596,solar power,0
1933,Progressive,63,solar power,0
1957,Independent Progressive Conservative,122,solar power,0
1938,Liberal,15788,solar power,0
1926,Conservative (1867-1942),14282,solar power,0
1916,Labour,37,solar power,0
1948,Progressive Conservative,11748,solar power,0
1922,United Farmers of Alberta,54,solar power,0
1918,Progressive,14,solar power,0
1967,Independent Liberal,2,solar power,0
1910,Independent,37,solar power,0
1910,Labour,30,solar power,0
1986,Independent,5,solar power,0
1945,Conservative (1867-1942),4,solar power,0
2000,Independent,25,solar power,0
1901,Liberal-Conservative,711,solar power,0
2016,Bloc Québécois,344,solar power,0
1904,Independent Conservative,352,solar power,0
1946,Co-operative Commonwealth Federation (C.C.F.),5318,solar power,0
1999,Progressive Conservative,1776,solar power,0
1970,Independent,4974,solar power,0
1945,Co-operative Commonwealth Federation (C.C.F.),3168,solar power,0
1941,Liberal,11706,solar power,0
1935,Liberal Progressive,124,solar power,0
1935,Independent,394,solar power,0
1949,Independent Liberal,148,solar power,0
1990,Independent,333,solar power,0
1935,Labour,1070,solar power,0
1962,New Democratic Party,4146,solar power,0
1947,Independent C.C.F.,141,solar power,0
1964,Liberal Labour,112,solar power,0
1933,Independent,546,solar power,0
1973,New Democratic Party,7691,solar power,0
1933,Liberal Progressive,140,solar power,0
1937,Independent Conservative,3,solar power,0
1953,Liberal,13664,solar power,0
1931,Conservative (1867-1942),13875,solar power,0
1933,Labour,754,solar power,0
1954,Liberal,13918,solar power,0
2008,Independent,183,solar power,0
1998,Progressive Conservative,1815,solar power,0
1968,Progressive Conservative,8721,solar power,0
1965,Progressive Conservative,7243,solar power,0
1960,Co-operative Commonwealth Federation (C.C.F.),6687,solar power,0
1958,Independent Liberal,57,solar power,0
1952,Co-operative Commonwealth Federation (C.C.F.),3068,solar power,0
1909,Labour,24,solar power,0
1973,No affiliation,6328,solar power,0
1923,Independent,7,solar power,0
1925,Independent Conservative,239,solar power,0
1910,Nationalist,2,solar power,0
1909,Independent,11,solar power,0
1942,Liberal,15285,solar power,0
1923,Labour,824,solar power,0
1902,Liberal,1974,solar power,0
1956,Co-operative Commonwealth Federation (C.C.F.),6774,solar power,0
1971,Progressive Conservative,17889,solar power,0
1934,Labour,722,solar power,0
1930,Labour,673,solar power,0
1934,Independent,558,solar power,0
1911,Conservative (1867-1942),9664,solar power,0
1934,Liberal Progressive,66,solar power,0
1974,Liberal,12348,solar power,1
1930,Independent,231,solar power,0
1930,Liberal Progressive,264,solar power,0
1947,Independent Liberal,534,solar power,0
1942,Progressive Conservative,279,solar power,0
1955,Co-operative Commonwealth Federation (C.C.F.),5118,solar power,0
1949,Independent C.C.F.,29,solar power,0
1936,Independent Conservative,6,solar power,0
1966,Ralliement Créditiste,2345,solar power,0
1908,Conservative (1867-1942),15745,solar power,0
1988,Independent Liberal,20,solar power,0
1961,New Party,157,solar power,0
1974,Progressive Conservative,9750,solar power,1
1935,Progressive,119,solar power,0
1971,Liberal,22726,solar power,0
1980,New Democratic Party,4122,solar power,0
1954,Progressive Conservative,8571,solar power,0
1905,Conservative (1867-1942),14349,solar power,0
1973,Independent,139,solar power,0
1901,Independent Conservative,523,solar power,0
1953,Progressive Conservative,9510,solar power,0
1904,Liberal-Conservative,2213,solar power,0
1950,Co-operative Commonwealth Federation (C.C.F.),3436,solar power,0
1932,Conservative (1867-1942),13435,solar power,0
1925,Independent Progressive,380,solar power,0
1962,Social Credit,1261,solar power,0
1998,Liberal,10802,solar power,0
1968,Liberal,12278,solar power,0
1965,Liberal,11900,solar power,0
1979,Independent,53,solar power,0
1943,Social Credit,1873,solar power,0
1950,Liberal Progressive,32,solar power,0
1950,Independent,129,solar power,0
1908,Independent,28,solar power,0
1959,Progressive Conservative,18143,solar power,0
1908,Labour,3,solar power,0
1990,Bloc Québécois,21,solar power,0
1966,Social Credit,1086,solar power,0
1944,National Government,11551,solar power,0
1977,Liberal,22893,solar power,1
1924,United Farmers of Alberta,106,solar power,0
1996,Progressive Conservative,99,solar power,0
1903,Liberal,8821,solar power,0
1905,Independent,33,solar power,0
1963,Liberal,16424,solar power,0
2000,Bloc Québécois,3523,solar power,0
1958,Independent Progressive Conservative,86,solar power,0
1955,Independent,100,solar power,0
2016,Independent,12,solar power,0
1955,Liberal Progressive,92,solar power,0
1932,Labour,705,solar power,0
1985,New Democratic Party,9650,solar power,1
1949,Bloc populaire canadien,30,solar power,0
1932,Independent,421,solar power,0
1932,Liberal Progressive,302,solar power,0
1956,Liberal Progressive,101,solar power,0
1931,Independent,674,solar power,0
1996,Liberal,9950,solar power,1
1956,Independent,99,solar power,0
1931,Liberal Progressive,361,solar power,0
1913,Liberal-Conservative,217,solar power,0
1933,Conservative (1867-1942),12726,solar power,0
1931,Labour,613,solar power,0
1930,United Farmers of Ontario,4,solar power,0
1923,United Farmers of Ontario,24,solar power,0
1918,Conservative (1867-1942),510,solar power,0
1970,Ralliement Créditiste,1327,solar power,0
1963,Progressive Conservative,11608,solar power,1
2016,New Democratic Party,3653,solar power,0
1926,Progressive,2309,solar power,0
1936,Independent Liberal,2,solar power,0
1909,Conservative (1867-1942),14876,solar power,0
1959,Liberal,13032,solar power,0
1947,Independent Progressive Conservative,70,solar power,0
1979,New Democratic Party,2641,solar power,2
1952,Liberal Progressive,41,solar power,0
1923,Conservative (1867-1942),10878,solar power,0
1952,Independent,155,solar power,0
1934,Conservative (1867-1942),14222,solar power,0
1911,Independent,32,solar power,0
1946,Social Credit,1731,solar power,0
1930,Conservative (1867-1942),8267,solar power,0
1911,Labour,56,solar power,0
1945,Social Credit,1469,solar power,0
1963,Independent Liberal,8,solar power,0
1933,Independent Labour,61,solar power,0
1993,Independent,27,solar power,0
1995,Bloc Québécois,4567,solar power,0
1969,Progressive Conservative,12352,solar power,0
1939,Co-operative Commonwealth Federation (C.C.F.),3001,solar power,0
1903,Independent Liberal,5,solar power,0
1924,United Farmers of Ontario,27,solar power,0
1919,Unionist,16918,solar power,0
1937,Liberal,9853,solar power,0
1948,Bloc populaire canadien,49,solar power,0
1939,Conservative (1867-1942),8881,solar power,0
1929,Liberal,11600,solar power,0
1928,Liberal,12804,solar power,0
1924,Conservative (1867-1942),13144,solar power,0
2004,Progressive Conservative,620,solar power,0
1902,Independent Conservative,136,solar power,0
1934,Independent Labour,117,solar power,0
1925,Liberal,15812,solar power,0
1978,Liberal,19108,solar power,1
2010,Independent,34,solar power,0
1997,Progressive Conservative,834,solar power,0
1921,Independent,30,solar power,0
1933,United Farmers of Alberta,1007,solar power,0
1921,Nationalist Liberal,580,solar power,0
1915,Labour,50,solar power,0
1927,Progressive,378,solar power,0
1936,Liberal,14636,solar power,0
1959,Independent Liberal,1,solar power,0
1922,Progressive,3291,solar power,0
1944,Unity,48,solar power,0
1968,Independent Progressive Conservative,28,solar power,0
1912,Labour,12,solar power,0
1993,New Democratic Party,2879,solar power,0
2015,Liberal,3800,solar power,0
1923,United Farmers of Alberta,127,solar power,0
1944,Liberal Progressive,74,solar power,0
1901,Liberal,2936,solar power,0
1944,Independent,491,solar power,0
1934,United Farmers of Alberta,944,solar power,0
1930,United Farmers of Alberta,991,solar power,0
1964,New Democratic Party,6828,solar power,0
1969,Liberal,17565,solar power,0
1944,Co-operative Commonwealth Federation (C.C.F.),4287,solar power,0
1921,Conservative (1867-1942),1493,solar power,0
1992,New Democratic Party,4028,solar power,0
1988,Progressive Conservative,22640,solar power,0
1931,United Farmers of Alberta,915,solar power,0
1915,Conservative (1867-1942),8358,solar power,0
1950,Liberal Labour,30,solar power,0
1947,Progressive Conservative,12856,solar power,0
1942,Independent Liberal,195,solar power,0
1961,Progressive Conservative,24351,solar power,0
1920,Liberal,1795,solar power,0
1912,Conservative (1867-1942),5107,solar power,0
1955,Liberal Labour,295,solar power,0
1958,Liberal,11325,solar power,0
1991,New Democratic Party,4222,solar power,0
1903,Independent Conservative,472,solar power,0
2015,Forces et Démocratie,44,solar power,0
1953,Independent Liberal,4,solar power,0
1984,Liberal,14879,solar power,0
1921,United Farmers of Ontario,11,solar power,0
2003,New Democratic Party,1867,solar power,3
1921,United Farmers,118,solar power,0
1932,Independent Labour,58,solar power,0
1931,Independent Labour,64,solar power,0
1991,Independent,72,solar power,0
1920,Laurier Liberal,8214,solar power,0
1958,Progressive Conservative,16275,solar power,0
2014,Forces et Démocratie,19,solar power,0
1965,Independent Liberal,10,solar power,0
1961,Liberal,15473,solar power,0
2003,Independent,25,solar power,0
1956,Liberal Labour,214,solar power,0
1948,Independent C.C.F.,120,solar power,0
1984,Progressive Conservative,13973,solar power,0
2015,Conservative,10534,solar power,0
1964,Co-operative Commonwealth Federation (C.C.F.),301,solar power,0
1924,Labour,921,solar power,0
1971,Independent Liberal,21,solar power,0
1939,Liberal Progressive,127,solar power,0
1939,Independent,335,solar power,0
1924,Independent,28,solar power,0
1947,Liberal,18365,solar power,0
1972,Social Credit,884,solar power,0
2004,Conservative,2767,solar power,0
1932,United Farmers of Alberta,1449,solar power,0
1942,New Democracy,9,solar power,0
1914,Liberal-Conservative,63,solar power,0
1960,Liberal Labour,1068,solar power,0
1952,Liberal Labour,79,solar power,0
1941,Unity,44,solar power,0
1910,Liberal,13998,solar power,0
1975,New Democratic Party,5207,solar power,0
1912,Liberal-Conservative,478,solar power,0
1904,Independent Labour,70,solar power,0
1986,Liberal,11471,solar power,0
1942,Social Credit,1523,solar power,0
2000,Liberal,7727,solar power,0
1974,Social Credit,863,solar power,0
1948,Independent,128,solar power,0
1940,Co-operative Commonwealth Federation (C.C.F.),1301,solar power,0
1948,Liberal Progressive,2,solar power,0
1999,New Democratic Party,2348,solar power,0
1922,Independent Conservative,191,solar power,0
1953,Social Credit,1278,solar power,0
1940,Conservative (1867-1942),771,solar power,0
1941,Independent,138,solar power,0
1970,Liberal,18523,solar power,0
1954,Social Credit,1214,solar power,0
1941,Liberal Progressive,30,solar power,0
1935,Liberal,10270,solar power,0
1918,Unionist,6146,solar power,0
1990,Liberal,9528,solar power,0
1962,Progressive Conservative,18494,solar power,0
1970,Progressive Conservative,13420,solar power,0
1963,Ralliement Créditiste,1529,solar power,0
1999,Independent,83,solar power,0
1944,Bloc populaire canadien,80,solar power,0
1990,Progressive Conservative,17726,solar power,0
1962,Liberal,12310,solar power,0
2013,Green,466,solar power,0
1968,Social Credit,165,solar power,0
1965,Social Credit,770,solar power,0
1935,Progressive Conservative,27,solar power,0
1920,Unionist (Liberal),1324,solar power,0
1914,Conservative (1867-1942),14090,solar power,0
1972,Independent Liberal,57,solar power,0
1951,Liberal Labour,121,solar power,0
1957,Liberal Labour,493,solar power,0
1986,Progressive Conservative,24649,solar power,0
1996,Bloc Québécois,4530,solar power,0
1975,Independent,152,solar power,0
2000,Progressive Conservative,1437,solar power,0
1938,Liberal Progressive,171,solar power,0
1938,Independent,663,solar power,0
1922,Independent Progressive,135,solar power,0
1971,Social Credit,1249,solar power,0
1917,Independent Conservative,129,solar power,0
1916,Liberal,11711,solar power,0
1968,Ralliement Créditiste,1153,solar power,0
1965,Ralliement Créditiste,1562,solar power,0
1938,Co-operative Commonwealth Federation (C.C.F.),1911,solar power,0
1983,Independent,67,solar power,0
1963,Social Credit,2010,solar power,0
1987,Liberal,11673,solar power,0
1949,Liberal Labour,9,solar power,0
1927,Independent Liberal,7,solar power,0
1914,Labour,77,solar power,0
1994,New Democratic Party,716,solar power,0
1971,Ralliement Créditiste,463,solar power,0
1943,Liberal,15502,solar power,0
2013,Independent,199,solar power,0
1966,Liberal,26773,solar power,0
1945,Progressive Conservative,6780,solar power,0
1926,Liberal,12441,solar power,0
1938,Conservative (1867-1942),10578,solar power,0
1940,Unity,16,solar power,0
1943,Progressive Conservative,1577,solar power,0
1946,Liberal,15241,solar power,0
1998,Bloc Québécois,3133,solar power,0
1966,Progressive Conservative,16402,solar power,0
1945,Liberal,10806,solar power,0
1941,Co-operative Commonwealth Federation (C.C.F.),1823,solar power,0
1983,New Democratic Party,6752,solar power,1
2011,Bloc Québécois,1206,solar power,0
1944,Labour Progressive,79,solar power,0
1941,Conservative (1867-1942),710,solar power,0
1940,Liberal Progressive,24,solar power,0
1948,Co-operative Commonwealth Federation (C.C.F.),5937,solar power,0
1940,Independent,162,solar power,0
1994,Independent,14,solar power,0
1987,Progressive Conservative,25550,solar power,0
1966,Independent Liberal,11,solar power,0
1904,Independent,76,solar power,0
1989,Reform,40,solar power,0
1945,New Democracy,2,solar power,0
1940,National Government,5509,solar power,0
1943,Independent Liberal,134,solar power,0
1910,Independent Conservative,116,solar power,0
1990,Independent Conservative,22,solar power,0
1927,Liberal,7254,solar power,0
2012,Independent,158,solar power,0
1919,Independent,19,solar power,0
1967,Co-operative Commonwealth Federation (C.C.F.),253,solar power,0
1937,Social Credit,550,solar power,0
1936,United Farmers of Ontario-Labour,89,solar power,0
1922,Liberal,7650,solar power,0
1909,Liberal-Conservative,732,solar power,0
1929,Progressive,682,solar power,0
1928,Progressive,626,solar power,0
2005,Independent,68,solar power,0
1991,Reform,32,solar power,0
1949,Conservative (1867-1942),1,solar power,0
1981,New Democratic Party,4784,solar power,0
1925,Progressive,8480,solar power,0
2012,New Democratic Party,13926,solar power,2
2004,Canadian Alliance,2722,solar power,1
1978,Social Credit,809,solar power,0
1916,Independent Conservative,166,solar power,0
1946,Independent Liberal,580,solar power,0
1921,Unionist,10585,solar power,0
1917,Liberal,18984,solar power,0
1913,Conservative (1867-1942),6505,solar power,0
1982,Progressive Conservative,15257,solar power,1
1992,Reform,25,solar power,0
1945,Independent Liberal,338,solar power,0
1951,Independent,368,solar power,0
1937,United Farmers of Ontario-Labour,51,solar power,0
1936,Social Credit,839,solar power,1
1951,Liberal Progressive,68,solar power,0
1957,Liberal Progressive,55,solar power,0
1949,Co-operative Commonwealth Federation (C.C.F.),5007,solar power,0
1957,Independent,137,solar power,0
1943,New Democracy,25,solar power,0
1997,Bloc Québécois,3112,solar power,0
1951,Co-operative Commonwealth Federation (C.C.F.),5295,solar power,0
1957,Co-operative Commonwealth Federation (C.C.F.),6123,solar power,0
1949,Liberal Progressive,16,solar power,0
1969,Ralliement Créditiste,2139,solar power,0
1949,Independent,158,solar power,0
1993,Reform,22,solar power,0
1958,Social Credit,409,solar power,0
1911,Liberal-Conservative,329,solar power,0
1926,Independent Conservative,139,solar power,0
1967,New Democratic Party,5583,solar power,0
1913,Labour,15,solar power,0
1966,Independent Progressive Conservative,352,solar power,0
1910,Independent Liberal,9,solar power,0
1972,Progressive Conservative,6878,solar power,0
2014,Bloc Québécois,136,solar power,0
1995,Liberal,11845,solar power,0
2015,Bloc Québécois,91,solar power,0
2006,Independent,20,solar power,0
1919,United Farmers,1,solar power,0
1945,Independent Progressive Conservative,9,solar power,0
1920,Progressive,314,solar power,0
1905,Liberal-Conservative,1660,solar power,0
1946,Independent Progressive Conservative,15,solar power,0
1941,National Government,7462,solar power,0
2012,Green,700,solar power,0
1904,Conservative (1867-1942),14147,solar power,0
1967,Independent,866,solar power,0
1920,United Farmers of Ontario-Labour,15,solar power,0
1947,Social Credit,2102,solar power,1
1972,Liberal,9171,solar power,0
1995,Progressive Conservative,127,solar power,0
1962,Independent Liberal,3,solar power,0
1908,Liberal-Conservative,858,solar power,0
2009,Independent,24,solar power,0
1919,Conservative (1867-1942),266,solar power,0
1946,Progressive Conservative,10692,wind power,1
1948,Liberal,16392,wind power,1
1973,Progressive Conservative,19871,wind power,1
1975,Progressive Conservative,16532,wind power,3
1975,Liberal,23973,wind power,1
1976,Progressive Conservative,14901,wind power,3
1976,Liberal,20417,wind power,2
1976,Social Credit,1102,wind power,1
1976,New Democratic Party,4322,wind power,1
1977,Progressive Conservative,16764,wind power,1
1977,Social Credit,991,wind power,1
1978,Progressive Conservative,13109,wind power,1
1980,Progressive Conservative,10571,wind power,1
1981,Progressive Conservative,15279,wind power,2
1982,Liberal,20631,wind power,1
1985,Progressive Conservative,25634,wind power,1
1988,Liberal,8938,wind power,1
1989,New Democratic Party,4484,wind power,2
1990,New Democratic Party,6022,wind power,1
1991,Progressive Conservative,13572,wind power,1
1994,Reform,5958,wind power,1
1997,Liberal,8061,wind power,3
1997,Reform,4463,wind power,2
1997,New Democratic Party,1166,wind power,1
1999,Reform,6223,wind power,1
2000,Canadian Alliance,75,wind power,1
2000,New Democratic Party,1897,wind power,1
2001,New Democratic Party,2157,wind power,8
2001,Liberal,11369,wind power,7
2001,Canadian Alliance,6220,wind power,6
2001,Progressive Conservative,1827,wind power,2
2002,Bloc Québécois,3337,wind power,23
2002,Canadian Alliance,6377,wind power,15
2002,Liberal,11121,wind power,12
2002,New Democratic Party,1889,wind power,6
2002,Progressive Conservative,1748,wind power,4
2003,Liberal,10019,wind power,6
2003,Bloc Québécois,2916,wind power,3
2004,Liberal,9444,wind power,11
2004,Bloc Québécois,2842,wind power,6
2005,Liberal,10752,wind power,35
2005,Bloc Québécois,3392,wind power,5
2005,Conservative,8071,wind power,5
2005,New Democratic Party,2195,wind power,2
2006,Liberal,7524,wind power,19
2006,Bloc Québécois,3093,wind power,6
2006,Conservative,10677,wind power,3
2006,New Democratic Party,3921,wind power,3
2007,Liberal,8717,wind power,15
2007,Bloc Québécois,3502,wind power,7
2007,New Democratic Party,4841,wind power,5
2007,Conservative,12362,wind power,3
2008,New Democratic Party,3497,wind power,7
2008,Liberal,6953,wind power,3
2008,Bloc Québécois,2780,wind power,3
2008,Conservative,10054,wind power,3
2009,New Democratic Party,6650,wind power,12
2009,Liberal,9156,wind power,9
2009,Bloc Québécois,4434,wind power,7
2009,Conservative,13468,wind power,6
2010,New Democratic Party,6075,wind power,5
2010,Liberal,8176,wind power,3
2010,Conservative,12269,wind power,3
2010,Bloc Québécois,3872,wind power,2
2011,Conservative,12737,wind power,2
2011,New Democratic Party,9010,wind power,1
2011,Liberal,5257,wind power,1
2012,Liberal,5344,wind power,1
2013,Conservative,14842,wind power,3
2013,New Democratic Party,11652,wind power,3
2014,New Democratic Party,13401,wind power,3
2014,Liberal,4914,wind power,1
2014,Conservative,16871,wind power,1
2015,New Democratic Party,7224,wind power,1
2016,Liberal,9467,wind power,2
2016,Conservative,6230,wind power,1
1991,Liberal,7334,wind power,0
1942,National Government,8689,wind power,0
1925,United Farmers of Ontario,10,wind power,0
1984,New Democratic Party,5591,wind power,0
1929,United Farmers of Ontario,3,wind power,0
1928,United Farmers of Ontario,1,wind power,0
1937,Conservative (1867-1942),6105,wind power,0
1992,Liberal,7137,wind power,0
1989,Progressive Conservative,13450,wind power,0
1945,Bloc populaire canadien,28,wind power,0
1988,Independent,14,wind power,0
2014,Green,614,wind power,0
1939,Liberal,16036,wind power,0
1929,Conservative (1867-1942),10222,wind power,0
1928,Conservative (1867-1942),10994,wind power,0
1911,Independent Conservative,137,wind power,0
1967,Social Credit,803,wind power,0
1946,Bloc populaire canadien,59,wind power,0
1937,Co-operative Commonwealth Federation (C.C.F.),1642,wind power,0
1924,Liberal,16197,wind power,0
1947,Liberal Progressive,2,wind power,0
1959,Liberal Labour,830,wind power,0
1947,Independent,247,wind power,0
1925,Conservative (1867-1942),12052,wind power,0
1988,New Democratic Party,8998,wind power,0
1992,Progressive Conservative,13930,wind power,0
1989,Liberal,7687,wind power,0
1930,Independent Liberal,2,wind power,0
2015,Green,386,wind power,0
2012,Bloc Québécois,302,wind power,0
1936,Conservative (1867-1942),9485,wind power,0
1943,Bloc populaire canadien,50,wind power,0
1908,Independent Conservative,81,wind power,0
1963,Liberal Labour,79,wind power,0
1936,Co-operative Commonwealth Federation (C.C.F.),2169,wind power,0
1961,New Democratic Party,480,wind power,0
1920,Independent,40,wind power,0
1949,Social Credit,1382,wind power,0
1903,Independent Labour,141,wind power,0
1958,Independent,9,wind power,0
1905,Independent Conservative,546,wind power,0
2003,Progressive Conservative,1541,wind power,0
1984,Independent,80,wind power,0
1901,Conservative (1867-1942),8850,wind power,0
2004,Independent,22,wind power,0
1978,Independent,166,wind power,0
1911,Independent Liberal,10,wind power,0
1915,Liberal,8802,wind power,0
1971,Liberal Labour,47,wind power,0
1945,Labour Progressive,70,wind power,0
1921,Liberal,1187,wind power,0
1936,Liberal Progressive,114,wind power,0
1920,United Farmers,188,wind power,0
1951,Social Credit,1982,wind power,0
1936,Independent,270,wind power,0
1919,Progressive,194,wind power,0
1957,Social Credit,1964,wind power,0
1958,Co-operative Commonwealth Federation (C.C.F.),4678,wind power,0
1952,Independent Liberal,22,wind power,0
2007,Independent,79,wind power,0
1968,Liberal Labour,9,wind power,0
1965,Liberal Labour,27,wind power,0
2016,Green Party,213,wind power,0
1920,Conservative (1867-1942),1374,wind power,0
1910,Liberal-Conservative,758,wind power,0
2015,Independent,256,wind power,0
1993,Progressive Conservative,8772,wind power,0
1923,Independent Progressive,336,wind power,0
1912,Liberal,4892,wind power,0
1960,New Party,28,wind power,0
1956,Independent Liberal,4,wind power,0
1944,Liberal,20404,wind power,0
1901,Independent,358,wind power,0
1964,Progressive Conservative,19874,wind power,0
1969,Independent,4766,wind power,0
1936,Reconstruction,419,wind power,0
1947,Co-operative Commonwealth Federation (C.C.F.),6101,wind power,0
1993,Liberal,4577,wind power,0
1955,Independent Liberal,6,wind power,0
1964,Liberal,24849,wind power,0
1945,Independent C.C.F.,37,wind power,0
2014,Independent,179,wind power,0
1916,Liberal-Conservative,365,wind power,0
1969,New Democratic Party,6830,wind power,0
1953,Liberal Labour,89,wind power,0
2002,Independent,5,wind power,0
1944,Progressive Conservative,2102,wind power,0
1946,Independent C.C.F.,93,wind power,0
1937,Independent,196,wind power,0
1954,Liberal Labour,410,wind power,0
1937,Liberal Progressive,162,wind power,0
1929,Independent,296,wind power,0
1928,Independent,235,wind power,0
1929,Liberal Progressive,836,wind power,0
1928,Liberal Progressive,517,wind power,0
1930,Independent Conservative,2,wind power,0
1978,New Democratic Party,3761,wind power,0
2004,New Democratic Party,1872,wind power,0
1929,Labour,1247,wind power,0
1928,Labour,958,wind power,0
1997,Independent,66,wind power,0
1921,Laurier Liberal,9363,wind power,0
1902,Independent Labour,54,wind power,0
1909,Independent Conservative,109,wind power,0
1995,Reform,6324,wind power,0
1979,Independent Liberal,3,wind power,0
1937,Reconstruction,159,wind power,0
1967,Ralliement Créditiste,1094,wind power,0
1950,Independent Liberal,6,wind power,0
1925,Labour,989,wind power,0
1908,Independent Liberal,23,wind power,0
1961,Co-operative Commonwealth Federation (C.C.F.),5073,wind power,0
1923,Independent Conservative,199,wind power,0
1925,Independent,65,wind power,0
1996,Independent,30,wind power,0
1956,Liberal,19945,wind power,0
1944,Independent Liberal,120,wind power,0
1931,Liberal,11996,wind power,0
1940,Social Credit,927,wind power,0
1919,Unionist (Liberal),1953,wind power,0
1985,Liberal,11875,wind power,0
